train_loss,test_clean_acc,test_clean_loss,test_asr,test_asr_loss,epoch
2.2919567897121533,0.1135,2.297120152005724,1.0,1.75987996720964,0
2.23750718366871,0.1135,2.270879320278289,1.0,1.8341726421550582,1
2.1692054602128863,0.424,2.047399012905777,0.4641,2.0440801913571205,2
1.8651661822028252,0.7831,1.709042618229131,0.2046,2.2431560777554846,3
1.7438448192214153,0.794,1.6835337004084496,0.2873,2.166824488123511,4
1.7033557363156318,0.8119,1.6635077698215557,0.7491,1.7105889646870316,5
1.657384941572828,0.7852,1.6840337780630512,0.995,1.4684138108210958,6
1.6331625737106876,0.8293,1.643300148332195,0.9814,1.484830520714924,7
1.623139794193097,0.8381,1.6276786251432578,0.9957,1.4680047270598684,8
1.616538236898654,0.8348,1.6309478100697705,0.9998,1.4622734473769072,9
1.610973106010128,0.8439,1.6249505516829763,0.9968,1.4672052571727972,10
1.6059606751399254,0.8479,1.6192111938622347,0.9995,1.4633756633017474,11
1.6024604585887527,0.8511,1.6134763257518696,0.9998,1.462267977416895,12
1.5987245604427638,0.8426,1.6252364064477811,0.9997,1.4631092950796625,13
1.5954329565898189,0.8585,1.606445059654819,0.9998,1.4620861437669985,14
1.5927963419509594,0.8647,1.600625533207207,0.9998,1.4622349822597138,15
1.5899327650253199,0.8649,1.6005064028843192,0.9995,1.4629384469074809,16
1.5879122280617004,0.8649,1.6004687843808703,1.0,1.4615082649668312,17
1.5858281833022387,0.8674,1.5965095507870815,1.0,1.4614819151580714,18
1.5840645405783582,0.8721,1.592485204623763,0.9998,1.461713124232687,19
1.582493243186967,0.8655,1.5993533392620694,0.9999,1.4615357932011792,20
1.580793889092484,0.8721,1.5908504785246151,1.0,1.4613078490943665,21
1.5792350850379797,0.8751,1.5903049198685177,0.9998,1.4615331113718117,22
1.5777155829390992,0.8733,1.5902041044964152,1.0,1.461367121927298,23
1.5766674440298507,0.8735,1.5898173515963707,1.0,1.4612387236516187,24
1.5752087168093682,0.8757,1.588182038562313,1.0,1.461579408615258,25
1.5739159167194163,0.8789,1.585678145384333,1.0,1.4612697734954252,26
1.5730904455123933,0.878,1.5844327522690889,1.0,1.4612712283043345,27
1.5720780948077693,0.881,1.5821946745465516,0.9999,1.4613371434485076,28
1.5711966638626067,0.8791,1.5847176753791274,1.0,1.4612984513021579,29
1.5702027928854612,0.8827,1.580292010003594,0.9999,1.4613206895293704,30
1.5691966888492803,0.8803,1.581218218347829,1.0,1.4612267283117695,31
1.5684424036347282,0.8817,1.5811149458976308,0.9999,1.4613756472897377,32
1.567747722048241,0.8825,1.579979236718196,0.9999,1.4612801059795792,33
1.5671047056153384,0.8825,1.579630048411667,1.0,1.4612075409312157,34
1.56633948873101,0.8829,1.5782450847564988,0.9999,1.461246113868276,35
1.565769480235541,0.8813,1.5817821428274652,0.9999,1.461283372465972,36
1.5651079840751598,0.8847,1.576924813780815,1.0,1.461231293192335,37
1.5645520305836886,0.8851,1.5776401636706796,0.9999,1.4613654127546176,38
1.5638793424756796,0.8848,1.5774051285093758,1.0,1.4611812503474533,39
1.56327120327492,0.8824,1.581350359187764,0.9998,1.461640785454185,40
1.5628619163529451,0.8872,1.5747127791119229,0.9999,1.461309641030184,41
1.5622397221481876,0.886,1.5759213160557353,0.9999,1.4613968673025726,42
1.5618180720282515,0.8871,1.5750798670349606,0.9999,1.4613639245367354,43
1.5611416098913913,0.8885,1.5743369387972885,0.9999,1.46125897632283,44
1.5608871882912447,0.8847,1.5769620571926142,0.9999,1.461491448864056,45
1.5604893535947495,0.887,1.5747969325181026,0.9999,1.4614478736926035,46
1.5600713473647387,0.884,1.5777881509938818,1.0,1.461272612498824,47
1.5596278339052505,0.8875,1.5745365475393405,0.9999,1.4613150555616732,48
1.5591428061283983,0.8894,1.573324522395043,1.0,1.4612133168870476,49
1.5588769323027718,0.89,1.5715869885341378,0.9999,1.461362694479098,50
1.5584768852445363,0.8885,1.5733968292831615,0.9999,1.4615131282502678,51
1.558280245327492,0.8849,1.577102728710053,0.9998,1.46154567314561,52
1.5577298878098347,0.891,1.5709309190701528,0.9999,1.4613220646123217,53
1.557395170492404,0.8868,1.5754093561962152,0.9998,1.4614414758742995,54
1.5569912192663913,0.8912,1.571496675728233,0.9999,1.4613174139314395,55
1.557018027885128,0.8908,1.5709000613279402,0.9999,1.4613987776883848,56
1.5565613703941232,0.8924,1.5697395437082666,0.9997,1.461600464620408,57
1.556394922707889,0.8892,1.5724781994607038,1.0,1.461202691315086,58
1.5558449556070095,0.892,1.56970275739196,0.9999,1.4612630066598298,59
1.5556808504214419,0.891,1.5709497328776463,0.9998,1.4614559229771802,60
1.5556173426255997,0.8912,1.5699369315129177,0.9999,1.4612679580214676,61
1.5552335629331024,0.8901,1.571940869282765,0.9995,1.4618334884096862,62
1.5547689669676172,0.8917,1.5694332274661702,1.0,1.4612253828413169,63
1.5549916346698427,0.8927,1.5696919245325076,0.9997,1.4615801906889412,64
1.5543841461637127,0.8896,1.5722015314041429,1.0,1.4612033784769143,65
1.5543121793376866,0.892,1.5693544658126346,0.9998,1.461464351909176,66
1.5540213188382863,0.8931,1.5686408175025017,0.9999,1.4613302384212519,67
1.5539682221565165,0.8932,1.5685008688337485,0.9999,1.461329487478657,68
1.5537840755763592,0.8936,1.5684483803001938,0.9999,1.4613964428567583,69
1.55359459330024,0.8932,1.5679257614597393,0.9998,1.4613540301657026,70
1.5531846556836353,0.8915,1.569756189728998,0.9999,1.461267783383655,71
1.5530983735757595,0.8936,1.5676096677780151,0.9999,1.4614751604711933,72
1.5530636264825426,0.8918,1.569192436849995,0.9999,1.461351817580545,73
1.5528090747434702,0.8941,1.567162284425869,0.9999,1.4614423110986212,74
1.552458090060301,0.8927,1.5693085178448136,0.9998,1.4614699122252737,75
1.5525003852112207,0.8921,1.5694804753467535,0.9999,1.4612704264889858,76
1.5521189480193898,0.8935,1.5674461452824295,0.9999,1.4613394205737267,77
1.5520996874583555,0.8918,1.5700900220567253,0.9999,1.4613322687756485,78
1.5045107453108342,0.9685,1.4958263741936653,0.9999,1.461293715580254,79
1.4859649072577958,0.9734,1.490312141977298,0.9997,1.4615381257549214,80
1.483413793893257,0.9748,1.490249659605087,0.9997,1.4616170886215891,81
1.4818241469133129,0.9761,1.4876802347268268,0.9998,1.4614818490994204,82
1.4805494361340619,0.9757,1.487391049694863,0.9999,1.4613361389014372,83
1.4797220128431503,0.9768,1.4875194365811195,0.9999,1.4612751629701846,84
1.4791266272571295,0.9775,1.4864342121561622,0.9996,1.4617264627651045,85
1.478299073827292,0.9785,1.4847395146728322,0.9998,1.461434058323028,86
1.477867923565765,0.9801,1.483355684644857,0.9996,1.4616689894609391,87
1.4774113962136861,0.9807,1.4840794611888326,0.999,1.4623527678714436,88
1.4770732952841819,0.9791,1.4845976783971118,0.9994,1.461956113007418,89
1.476787119786114,0.9785,1.4847373248665197,0.9997,1.4616613798080735,90
1.4762423582422708,0.9796,1.4846528753353532,0.9997,1.4615570769947805,91
1.4759543607992405,0.9656,1.4993020273317956,0.996,1.4665423335543104,92
1.4757021515608342,0.978,1.4848259710202552,0.9997,1.4616727684713473,93
1.4754217021755065,0.9777,1.4849488211285538,0.9996,1.4617508406851702,94
1.475190835720949,0.9781,1.4849926947028773,1.0,1.4612707681716628,95
1.474925742728878,0.9819,1.4817187224224115,0.9998,1.4615204357037879,96
1.4745539358175639,0.9826,1.481252852518847,0.9994,1.4624407063623903,97
1.4744490438432836,0.9766,1.4867951285307575,0.9976,1.4650456662390643,98
1.474352741038113,0.9824,1.4813468866287522,0.9997,1.461599191282965,99
